srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
audio/sox,sox_project,sox,*,*,*,*,*,*
audio/speex,xiph,speex,*,*,*,*,*,*
audio/streamripper,streamripper,streamripper,*,*,*,*,*,*
audio/taglib,scott_wheeler,taglib,*,*,*,*,*,*
audio/taglib,taglib,taglib,*,*,*,*,*,*
audio/timidity++,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-emacs,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-gtk,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-motif,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-slang,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-xaw,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/timidity++-xskin,timidity\+\+_project,timidity\+\+,*,*,*,*,*,*
audio/tuxguitar,herac,tuxguitar,*,*,*,*,*,*
audio/vorbis-tools,xiph,vorbis-tools,*,*,*,*,*,*
audio/wavpack,wavpack,wavpack,*,*,*,*,*,*
audio/wavpack,wavpack_project,wavpack,*,*,*,*,*,*
audio/wildmidi,mindwerks,wildmidi,*,*,*,*,*,*
benchmarks/dhrystone,dhrystone_project,dhrystone,*,*,*,*,*,*
benchmarks/iperf,iperf_project,iperf,*,*,*,*,*,*
benchmarks/iperf3,iperf_project,iperf,*,*,*,*,*,*
benchmarks/netperf,netperf,netperf,*,*,*,*,*,*
benchmarks/phoronix-test-suite,phoronix-media,phoronix_test_suite,*,*,*,*,*,*
biology/htslib,htslib,htslib,*,*,*,*,*,*
cad/PrusaSlicer,prusa3d,prusaslicer,*,*,*,*,*,*
cad/admesh,admesh_project,admesh,*,*,*,*,*,*
cad/freecad,freecadweb,freecad,*,*,*,*,*,*
cad/gerbv,gerbv_project,gerbv,*,*,*,*,*,*
cad/kicad,kicad,eda,*,*,*,*,*,*
cad/kicad-devel,kicad,eda,*,*,*,*,*,*
cad/leocad,leocad,leocad,*,*,*,*,*,*
cad/libopencad,libopencad_project,libopencad,*,*,*,*,*,*
cad/librecad,librecad,librecad,*,*,*,*,*,*
cad/libredwg,gnu,libredwg,*,*,*,*,*,*
cad/openscad,openscad,openscad,*,*,*,*,*,*
cad/openscad-devel,openscad,openscad,*,*,*,*,*,*
chinese/aterm,aterm,aterm,*,*,*,*,*,*
chinese/bitchx,bitchx,bitchx,*,*,*,*,*,*
chinese/bitchx,colten_edwards,bitchx,*,*,*,*,*,*
chinese/enscript,gnu,enscript,*,*,*,*,*,*
chinese/eterm,eterm_project,eterm,*,*,*,*,*,*
chinese/libreoffice-zh_CN,libreoffice,libreoffice,*,*,*,*,*,*
chinese/libreoffice-zh_TW,libreoffice,libreoffice,*,*,*,*,*,*
chinese/tintin++,tintin,tintin\+\+,*,*,*,*,*,*
chinese/tintin++,tintin\+\+_project,tintin\+\+,*,*,*,*,*,*
comms/hylafax,hylafax,hylafax,*,*,*,*,*,*
comms/libimobiledevice,libimobiledevice,libimobiledevice,*,*,*,*,*,*
comms/libmodbus,libmodbus,libmodbus,*,*,*,*,*,*
comms/libusbmuxd,libimobiledevice,libusbmuxd,*,*,*,*,*,*
comms/lrzsz,lrzsz_project,lrzsz,*,*,*,*,*,*
comms/mgetty+sendfax,gert_doering,mgetty,*,*,*,*,*,*
comms/mgetty+sendfax,mgetty_project,mgetty,*,*,*,*,*,*
comms/minicom,minicom,minicom,*,*,*,*,*,*
comms/minicom,minicom_project,minicom,*,*,*,*,*,*
comms/nmealib,nmealib_project,nmealib,*,*,*,*,*,*
comms/picocom,picocom_project,picocom,*,*,*,*,*,*
comms/qt5-connectivity,digia,qt,*,*,*,*,*,*
comms/qt5-connectivity,qt,qt,*,*,*,*,*,*
comms/qt5-connectivity,qt,qtsvg,*,*,*,*,*,*
comms/qt5-sensors,digia,qt,*,*,*,*,*,*
comms/qt5-sensors,qt,qt,*,*,*,*,*,*
comms/qt5-sensors,qt,qtsvg,*,*,*,*,*,*
comms/qt5-serialbus,digia,qt,*,*,*,*,*,*
comms/qt5-serialbus,qt,qt,*,*,*,*,*,*
comms/qt5-serialbus,qt,qtsvg,*,*,*,*,*,*
comms/qt5-serialport,digia,qt,*,*,*,*,*,*
comms/qt5-serialport,qt,qt,*,*,*,*,*,*
comms/qt5-serialport,qt,qtsvg,*,*,*,*,*,*
comms/rtl-433,rtl_433_project,rtl_433,*,*,*,*,*,*
comms/snap7,snap7_project,snap7,*,*,*,*,*,*
comms/usbmuxd,nikias_bassen,usbmuxd,*,*,*,*,*,*
converters/fribidi,gnu,fribidi,*,*,*,*,*,*
converters/linux-c7-fribidi,gnu,fribidi,*,*,*,*,*,*
converters/p5-Convert-ASN1,convert\:\:asn1_project,convert\:\:asn1,*,*,*,*,*,*
converters/php74-iconv,php,php,*,*,*,*,*,*
converters/php74-iconv,php_group,php,*,*,*,*,*,*
converters/php74-mbstring,php,php,*,*,*,*,*,*
converters/php74-mbstring,php_group,php,*,*,*,*,*,*
converters/php80-iconv,php,php,*,*,*,*,*,*
converters/php80-iconv,php_group,php,*,*,*,*,*,*
converters/php80-mbstring,php,php,*,*,*,*,*,*
converters/php80-mbstring,php_group,php,*,*,*,*,*,*
converters/php81-iconv,php,php,*,*,*,*,*,*
converters/php81-iconv,php_group,php,*,*,*,*,*,*
converters/php81-mbstring,php,php,*,*,*,*,*,*
converters/php81-mbstring,php_group,php,*,*,*,*,*,*
converters/php82-iconv,php,php,*,*,*,*,*,*
converters/php82-iconv,php_group,php,*,*,*,*,*,*
converters/php82-mbstring,php,php,*,*,*,*,*,*
converters/php82-mbstring,php_group,php,*,*,*,*,*,*
converters/py-rencode,rencode_project,rencode,*,*,*,python,*,*
converters/tnef,tnef_project,tnef,*,*,*,*,*,*
converters/ytnef,ytnef_project,ytnef,*,*,*,*,*,*
databases/adminer,adminer,adminer,*,*,*,*,*,*
databases/adodb5,adodb_project,adodb,*,*,*,*,*,*
databases/arrow,apache,arrow,*,*,*,*,*,*
databases/c3p0,mchange,c3p0,*,*,*,*,*,*
databases/cassandra3,apache,cassandra,*,*,*,*,*,*
databases/cassandra4,apache,cassandra,*,*,*,*,*,*
databases/clickhouse,yandex,clickhouse,*,*,*,*,*,*
databases/couchdb3,apache,couchdb,*,*,*,*,*,*
databases/db,oracle,berkeley_db,*,*,*,*,*,*
databases/db18,oracle,berkeley_db,*,*,*,*,*,*
databases/db5,oracle,berkeley_db,*,*,*,*,*,*
databases/evolution-data-server,gnome,evolution-data-server,*,*,*,*,*,*
databases/firebird25-client,firebirdsql,firebird,*,*,*,*,*,*
databases/firebird25-server,firebirdsql,firebird,*,*,*,*,*,*
databases/firebird30-client,firebirdsql,firebird,*,*,*,*,*,*
databases/firebird30-server,firebirdsql,firebird,*,*,*,*,*,*
databases/firebird40-client,firebirdsql,firebird,*,*,*,*,*,*
databases/firebird40-server,firebirdsql,firebird,*,*,*,*,*,*
databases/freetds,freetds,freetds,*,*,*,*,*,*
databases/freetds-devel,freetds,freetds,*,*,*,*,*,*
databases/gnats4,gnu,gnats,*,*,*,*,*,*
databases/hiredis,redis,hiredis,*,*,*,*,*,*
databases/influxdb,influxdata,influxdb,*,*,*,*,*,*
databases/ldb15,samba,ldb,*,*,*,*,*,*
databases/ldb20,samba,ldb,*,*,*,*,*,*
databases/ldb21,samba,ldb,*,*,*,*,*,*
databases/ldb22,samba,ldb,*,*,*,*,*,*
databases/libgda5,gnome,libgda,*,*,*,*,*,*
databases/libgda5-bdb,gnome,libgda,*,*,*,*,*,*
databases/libgda5-jdbc,gnome,libgda,*,*,*,*,*,*
databases/libgda5-ldap,gnome,libgda,*,*,*,*,*,*
databases/libgda5-mdb,gnome,libgda,*,*,*,*,*,*
databases/libgda5-mysql,gnome,libgda,*,*,*,*,*,*
databases/libgda5-postgresql,gnome,libgda,*,*,*,*,*,*
databases/libgda5-ui,gnome,libgda,*,*,*,*,*,*
databases/linux-c7-sqlite3,sqlite,sqlite,*,*,*,*,*,*
databases/linux-c7-unixODBC,unixodbc,unixodbc,*,*,*,*,*,*
databases/liquibase,liquibase,liquibase,*,*,*,*,*,*
databases/mantis,mantis,mantis,*,*,*,*,*,*
databases/mantis,mantisbt,mantisbt,*,*,*,*,*,*
databases/mariadb-connector-c,mariadb,connector\/c,*,*,*,*,*,*
databases/mariadb103-client,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb103-server,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb104-client,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb104-server,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb105-client,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb105-server,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb106-client,mariadb,mariadb,*,*,*,*,*,*
databases/mariadb106-server,mariadb,mariadb,*,*,*,*,*,*
databases/mdbtools,mdbtools_project,mdbtools,*,*,*,*,*,*
databases/memcached,memcached,memcached,*,*,*,*,*,*
databases/memcached,memcachedb,memcached,*,*,*,*,*,*
databases/metabase,metabase,metabase,*,*,*,*,*,*
databases/mongodb36,mongodb,mongodb,*,*,*,*,*,*
databases/mongodb40,mongodb,mongodb,*,*,*,*,*,*
